Repository: repo1145, Score: 79.50
Repository: repo943, Score: 78.40
Repository: repo262, Score: 78.20
Repository: repo75, Score: 76.40
Repository: repo62, Score: 76.40
Repository: repo461, Score: 75.80
Repository: repo990, Score: 75.60
Repository: repo87, Score: 75.40
Repository: repo34, Score: 75.30
Repository: repo1199, Score: 73.70
Repository: repo640, Score: 72.50
Repository: repo1086, Score: 72.40
Repository: repo616, Score: 71.40
Repository: repo40, Score: 70.60
Repository: repo515, Score: 69.80
Repository: repo895, Score: 68.20
Repository: repo344, Score: 68.10
Repository: repo538, Score: 65.40
Repository: repo892, Score: 65.20
Repository: repo420, Score: 64.80
Repository: repo350, Score: 63.10
Repository: repo318, Score: 61.90
Repository: repo1049, Score: 60.40
Repository: repo753, Score: 59.80
Repository: repo291, Score: 59.00
Repository: repo364, Score: 58.70
Repository: repo1139, Score: 58.50
Repository: repo1193, Score: 57.90
Repository: repo822, Score: 57.30
Repository: repo681, Score: 57.20
Repository: repo1207, Score: 57.00
Repository: repo639, Score: 56.90
Repository: repo424, Score: 56.60
Repository: repo745, Score: 56.40
Repository: repo854, Score: 56.40
Repository: repo1174, Score: 55.60
Repository: repo678, Score: 55.60
Repository: repo965, Score: 55.00
Repository: repo536, Score: 55.00
Repository: repo336, Score: 53.80
Repository: repo1151, Score: 53.80
Repository: repo505, Score: 53.60
Repository: repo736, Score: 53.40
Repository: repo671, Score: 53.30
Repository: repo780, Score: 53.30
Repository: repo1128, Score: 53.10
Repository: repo362, Score: 52.90
Repository: repo564, Score: 52.80
Repository: repo929, Score: 52.40
Repository: repo560, Score: 51.80
Repository: repo384, Score: 51.80
Repository: repo597, Score: 50.00
Repository: repo430, Score: 50.00
Repository: repo788, Score: 49.90
Repository: repo1005, Score: 49.60
Repository: repo73, Score: 48.00
Repository: repo337, Score: 47.40
Repository: repo44, Score: 46.80
Repository: repo427, Score: 46.60
Repository: repo223, Score: 46.40
Repository: repo839, Score: 46.00
Repository: repo1235, Score: 45.70
Repository: repo439, Score: 44.90
Repository: repo399, Score: 44.20
Repository: repo142, Score: 44.00
Repository: repo239, Score: 44.00
Repository: repo997, Score: 43.80
Repository: repo30, Score: 43.60
Repository: repo598, Score: 43.50
Repository: repo912, Score: 42.90
Repository: repo373, Score: 42.40
Repository: repo657, Score: 41.80
Repository: repo1070, Score: 41.50
Repository: repo467, Score: 41.20
Repository: repo315, Score: 40.60
Repository: repo768, Score: 40.10
Repository: repo978, Score: 39.80
Repository: repo1066, Score: 39.60
Repository: repo1180, Score: 38.70
Repository: repo135, Score: 38.40
Repository: repo429, Score: 38.30
Repository: repo366, Score: 38.10
Repository: repo1040, Score: 37.80
Repository: repo130, Score: 37.40
Repository: repo304, Score: 37.40
Repository: repo187, Score: 36.80
Repository: repo1241, Score: 36.80
Repository: repo722, Score: 36.50
Repository: repo71, Score: 36.30
Repository: repo284, Score: 36.20
Repository: repo65, Score: 36.20
Repository: repo1115, Score: 35.40
Repository: repo1125, Score: 35.30
Repository: repo404, Score: 35.20
Repository: repo42, Score: 34.90
Repository: repo1209, Score: 34.80
Repository: repo1074, Score: 34.40
Repository: repo204, Score: 34.00
Repository: repo628, Score: 33.30
Repository: repo667, Score: 32.80
Repository: repo125, Score: 32.40
Repository: repo555, Score: 32.30
Repository: repo94, Score: 32.00
Repository: repo188, Score: 31.00
Repository: repo1214, Score: 30.60
